id	text	HS	TR	AG
20001	easyjet quiere duplicar número mujeres piloto verás aparcar avión	1	0	0
20002	gobierno debe crear control estricto inmigración zonas fronterizas colombia q después 0 0querrán venir masa	1	0	0
20003	veo mujeres destruidas acoso laboral callejero depresión debido violación sexual maltrato físico conocí varias suicidaron tipo comportamientos machistas vas seguir show pobre	0	0	0
20004	— respetuoso demás sólamente recuerdo si escoria culpa — claro sé quién tomas	0	0	0
20007	antonio caballero ser mal gusto ignorante vez claro mismo acoso sexual violación varias conductas componen violencia sexual	0	0	0
20008	cuánto hijo puta sobra mundo	0	0	0
20009	pablo casado debería estudiar máster inmigración	0	0	0
20010	vos haces pego patada cara	0	0	0
20012	#noticiasdelalinea detienen guatapanal motocicleta nacional haitiano indocumentado	0	0	0
20013	llora mereces zorra	1	1	1
20014	padres indocumentados realizaron huelga hambre pedir ser liberados	0	0	0
20015	sé personas piensan inmigrantes delincuentes	0	0	0
20016	tomi alegre jakskksjsj — cállate q tdv duelo puta	0	0	0
20017	callate gallina puta cntala cmo quieras bolso culo facil jajajaaj hijooo	1	1	1
20018	albondigas casi estilo fodongas gabacho	0	0	0
20020	#notodosloshombres ppk presidente lujo perú va mundial 0 já ilusos	0	0	0
20021	juez cita declarar menor denunció abusos parte jugadores #arandina	0	0	0
20022	vamoooo puta madre merecía esfuerzo haber pasado tantos teléfonos necesitábamos descanso #soltartenoestáenmisplanesmica	0	0	0
20023	pd ver si cierran puta vez tv0 sé todavía servicio público ofrece merezca dinero impuestos solo hace daño roben	0	0	0
20024	claro vida trabajador inmigrante fundido máquina iba ser difícil verdad difícil jajaja	0	0	0
20025	mira vd polla aguanto tonterías	0	0	0
20026	puta idea melodia novia sevillista puta mas	1	1	1
20027	diappoler jajaja cállate pepe niño polla si llenado notificaciónes jajajajaja	0	0	0
20028	mojigatas moralinas neta acoso sexual violación trabajo	0	0	0
20029	si cualquier cosa violación acoso minimizan violación acoso pierden víctimas mierdas dedican violar acosar	0	0	0
20030	divertido consideres piba novia zorra si mal recuerdo tambien habias metido novia hacer gusta hagan	0	0	0
20031	odio viejos creen merecen hijo puta mereces tumba	0	0	0
20032	demasiado perra	1	1	1
20034	papapapartido imimimporta callate tartaja come polla madeira	0	0	0
20035	callate puta boca gordo almagro	0	0	0
20036	gran regalo polla regalo aquí regalado currado muchísimo vale tonterías #otgala0	0	0	0
20037	saqué 0 final biología vos hija puta q quisiste promocionar unas centésimas cara cancha	0	0	0
20038	puteria perico almas gemelas excepto puta vientre	1	1	1
20040	verdadera cagada puto mierda mierda putos argentos sudakas miserables aborrece escorias mico sorete mal parido	1	0	1
20041	i added video to playlist güero bastidas enigma norteño 0	0	0	0
20042	asi digo mami callate perra	1	1	1
20043	cállate ven joder hostia puta	0	0	0
20044	dos amigos hablando raúl q das mujer trato hecho	1	1	0
20045	callate perra re despierta	1	1	1
20048	#esdemexicanos digan güero aunque mas negro noche	0	0	0
20049	ah vaina ahora puedo criticar inmigrante dios gente así	0	0	0
20050	immigration invasion entrada masiva inmigrantes subsaharianos ceuta españa via information passée sous silence par médias belges #desinformation	0	0	0
20051	escribiendo preguntas callada perra miras hacia atrás encuentras	0	0	0
20052	listado deben segundo árabes chinos jodidos vienen países mano delante atrás consiguen préstamos gigantescos negocios maltratar venezolano acá margarita ve vaina	1	0	1
20053	querida puta llenadero dicen hijos nuevo amor sigues siendo ejemplo 🤣🤣🤣	1	1	1
20054	guyana recibirá 0 mil unicef atender refugiados venezolanos	0	0	0
20055	cómo bien prietita dicen güera jajaja	0	0	0
20056	perra mas perra perras	1	1	1
20057	inmigrantes intentan fugarse ceuta escondidos ferry vía	0	0	0
20058	maldito hijo perra sé puta letrina pueblo ahogó mierda merecia	0	0	0
20059	callate pinche puta celebra navidad hija perra	1	1	1
20060	ver quién paga factura cómo reparten marrón dejar inmigrantes ilegales sueltos ciudades votantes hagan pagar dentro año	1	0	0
20061	tiempo existe división espacio temporal invención hombre cállate hijo puta	0	0	0
